stop_id,search_details_id,search_details_type,search_details_description,,
1445313,1628612,SearchType,Passenger,,
1445313,1628613,SearchBasis,Contraband Visible,,
1445098,1628378,ActionTaken,Citation,,
1445094,1628370,ActionTaken,Verbal Warning,,
1445205,1628494,ActionTaken,Citation,,
1445097,1628375,ActionTaken,Citation,,
1445097,1628376,SearchType,Vehicle,,
1445097,1628377,SearchBasis,Inventory Search [Prior to Impound],,
1445184,NULL,NULL,NULL,,
1445218,1628505,ActionTaken,Citation,,
1445208,1628497,ActionTaken,Written Warning,,
1445180,1628471,ActionTaken,Verbal Warning,,
1445181,1628472,ActionTaken,Citation,,
1445182,1628473,ActionTaken,Citation,,
1445185,1628474,ActionTaken,Verbal Warning,,
1445207,1628496,ActionTaken,Citation,,
1445183,NULL,NULL,NULL,,
1445206,1628495,ActionTaken,Citation,,
1445100,1628384,ActionTaken,Verbal Warning,,
1445100,1628385,SearchBasis,4th Waiver Search,,
1445221,1628508,ActionTaken,Citation,,
1445220,1628507,ActionTaken,Citation,,
1445192,1628481,ActionTaken,Citation,,
1445106,1628397,ActionTaken,Citation,,
1445103,1628392,ActionTaken,Citation,,
1445210,1628499,ActionTaken,Citation,,
1445102,1628389,ActionTaken,Citation,,
1445102,1628390,SearchType,Passenger,,
1445102,1628391,SearchBasis,4th Waiver Search,,
1445107,1628398,ActionTaken,Other,,
1445107,1628399,ActionTakenOther,MAR,,
1445105,1628396,ActionTaken,Citation,,
1445108,1628400,ActionTaken,Citation,,
1445111,1628403,ActionTaken,Citation,,
1445109,1628401,ActionTaken,Citation,,
1445112,1628404,ActionTaken,Citation,,
1445110,1628402,ActionTaken,Verbal Warning,,
1445780,1629108,ActionTaken,Citation,,
1447168,1630549,ActionTaken,Citation,,
1445217,1628504,ActionTaken,Citation,,
1449921,1633394,ActionTaken,Verbal Warning,,
1445349,NULL,NULL,NULL,,
1445350,1628671,ActionTaken,Citation,,
1445114,1628406,ActionTaken,Verbal Warning,,
1445113,1628405,ActionTaken,Verbal Warning,,
1445115,1628407,ActionTaken,Citation,,
1445117,1628409,ActionTaken,Written Warning,,
1445179,NULL,NULL,NULL,,
1445781,1629109,ActionTaken,Citation,,
1445134,NULL,NULL,NULL,,
1445120,1628414,ActionTaken,Citation,,
1445782,1629110,ActionTaken,Citation,,
1445119,1628413,ActionTaken,Verbal Warning,,
1445747,1629075,ActionTaken,Written Warning,,
1445118,1628410,ActionTaken,FI,,
1445118,1628411,SearchType,Driver,,
1445118,1628412,SearchBasis,4th Waiver Search,,
1445121,1628415,ActionTaken,Citation,,
1445801,1629129,ActionTaken,Citation,,
1445783,1629111,ActionTaken,Citation,,
1445738,1629066,ActionTaken,Citation,,
1445122,1628416,ActionTaken,Citation,,
1445124,1628418,ActionTaken,Citation,,
1447161,1630542,ActionTaken,Citation,,
1445123,1628417,ActionTaken,Verbal Warning,,
1445125,1628419,ActionTaken,Citation,,
1445127,1628421,ActionTaken,Citation,,
1445784,1629112,ActionTaken,Citation,,
1445137,1628430,ActionTaken,Verbal Warning,,
1445126,1628420,ActionTaken,Citation,,
1445748,1629076,ActionTaken,Written Warning,,
1445731,1629059,ActionTaken,Citation,,
1445717,1629045,ActionTaken,Citation,,
1445737,1629065,ActionTaken,Citation,,
1445130,1628424,ActionTaken,Citation,,
1445785,1629113,ActionTaken,Citation,,
1445128,1628422,ActionTaken,Citation,,
1445132,1628426,ActionTaken,Citation,,
1445786,1629114,ActionTaken,Citation,,
1445736,1629064,ActionTaken,Citation,,
1445761,1629089,ActionTaken,Citation,,
1445131,1628425,ActionTaken,Citation,,
1445732,1629060,ActionTaken,Citation,,
1445135,1628428,ActionTaken,Citation,,
1445133,1628427,ActionTaken,Citation,,
1445787,1629115,ActionTaken,Citation,,
1445346,1628668,ActionTaken,Citation,,
1445739,1629067,ActionTaken,Written Warning,,
1445759,1629087,ActionTaken,Citation,,
1445730,1629058,ActionTaken,Citation,,
1445138,1628431,ActionTaken,Citation,,
1445141,1628434,ActionTaken,Citation,,
1445715,1629043,ActionTaken,Citation,,
1445716,1629044,ActionTaken,Citation,,
1445802,1629130,ActionTaken,Citation,,
1445760,1629088,ActionTaken,Citation,,
1445136,1628429,ActionTaken,Verbal Warning,,
1445140,1628433,ActionTaken,Citation,,
1445746,1629074,ActionTaken,Written Warning,,
1445139,1628432,ActionTaken,Verbal Warning,,
1445775,1629103,ActionTaken,Citation,,
1445791,1629119,ActionTaken,Citation,,
