cz,cz_name,cz_pop2000,cz_pop_black2000,cz_pop_hisp2000,cz_pop_white2000,kfr_pooled_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,kir_black_female_p25,kir_black_female_p75,kir_black_male_p25,kir_black_male_p75,kir_hisp_female_p25,kir_hisp_female_p75,kir_hisp_male_p25,kir_hisp_male_p75,kir_white_female_p25,kir_white_female_p75,kir_white_male_p25,kir_white_male_p75
28703,Granby,12442,60,543,11577,47.16,,49.59,,,,,43.69,36.42,47.85,66.04000000000001,43.57,52.64,52.96,61.38
28704,Laramie,33591,322,2500,29455,48.04,46.93,49.44,59.97,44.75,60.29,80.13,44.27,53.63,48.04,58.22,42.57,51.89,54.02,63.14
28800,Fort Collins,459601,2385,78219,364923,44.74,40.81,49.13,43.58,54.18,47.39,55.07,38.7,47,50.42,59.43,41.37,50.81,53.44,64.34
28900,Denver,2449044,114922,429649,1772933,42.2,34.72,46.85,43.21,53.49,41.85,52.42,41.38,50.55,48.54,58.66,42.25,52.55,51.38,63.56
29001,Pratt,18232,114,472,17355,49.09,56.56,50.11,,,,,39.16,36.42,52.06,62.22,39.72,53.32,53.84,65.94
29002,Coldwater,1967,1,35,1906,49.09,,49.44,,,,,,,,,45.49,49.4,48.09,77.16
29003,Dodge City,42837,503,12962,28078,44.25,33.15,49.44,39.24,40.18,34.93,46.95,40.38,49.82,50.76,60.15,41.21,54.12,53.16,66.40000000000001
29004,Great Bend,47227,685,3276,42511,47.47,39.49,48.82,36.65,48.5,48.1,66.40000000000001,39.31,43.56,52.71,60.56,41.87,55.14,52.34,67.27
29005,Hutchinson,82076,2161,4499,73588,44.09,32.62,45.5,37.56,35.51,41.26,57.36,39.64,47.85,46.06,61.19,38.85,51.89,50.53,64.51000000000001
29006,Hays,38196,215,745,36536,52.01,44.34,53.22,49.3,42.55,,,44.99,41.97,51.5,68.06999999999999,43.57,55.34,56.9,67.12000000000001
29007,Township 11,8631,159,83,8276,51.47,,52.31,,,,,,,50.1,31.96,41.37,57.05,56.01,68.99
29008,Center,5609,1,83,5460,52.01,,52.61,,,,,,,59.08,69.47,47.24,54.23,57.45,72.43000000000001
29101,Concordia,19894,50,144,19499,51.47,,51.79,,,,,34.71,39.49,37.63,54.62,43.25,57.79,54.35,63.8
29102,Superior,11112,2,112,10921,55.06,,55.97,,,,,,,,,45.26,58.96,55.22,70.25
29103,Beloit,11384,38,78,11110,51.13,,52.61,,,,,,,,,46.47,54.23,54.02,67.79000000000001
29104,Salina,63338,1657,3345,56105,43.79,33.57,45.4,41.05,54.46,37.45,46.73,39.24,53.14,48.68,55.93,39.56,51.7,49.4,63.91
29201,Hiawatha,21441,212,325,19722,53.7,41.19,55.97,,,54.19,63.53,38.03,47.33,47.7,56.41,45.78,56.49,57.66,70.65000000000001
29202,Marysville,17448,31,125,17096,53.7,,54.13,,,,,,,,,46.47,56.01,53.64,67.79000000000001
29203,Manhattan,143269,10519,6299,119283,43.79,34.18,47,39.08,45.83,42.11,55.56,41.19,46.89,49.97,58.56,39.31,52.55,50.8,63.56
29204,Topeka,324513,19258,16406,272059,41.81,32.38,45.15,41.05,49.13,37.04,54.01,39.02,51.43,45.43,59.3,40.07,52.2,48.78,62.5
29301,Wichita,553506,41765,38857,440337,40.81,31.77,43.88,39.24,48.23,37.29,48.38,38.03,49,46.25,58.81,37.38,49.4,48.54,62.39
29302,Newton,75784,797,3450,70046,46.6,39.91,48.16,43.21,49.13,45.84,65.23,34.91,47.69,48.4,61.85,39.06,50.2,52.54,65.56
29303,Winfield,51584,1002,1566,46578,44.09,36.03,45.4,46.2,51.02,40.54,39.95,35.58,48.15,49.65,62.22,38.97,47.4,50.53,63.8
29401,Ottawa,51067,574,1068,48211,43.91,35.14,44.83,43.86,43.08,40.29,45.92,32.51,47,43.61,51.95,38.85,50.26,49.51,63.91
29402,Emporia,47830,834,6200,39231,45.05,31.82,47.9,38.02,66.15000000000001,40.29,59.44,41.12,53.49,49.65,60.56,40.56,52.75,52,65.47
29403,Bartlesville,145981,4852,3908,123174,42.88,30.15,44.92,38.02,47.22,37.88,55.35,38.03,51.91,47.85,55.93,39.41,50.81,48.24,62.86
29501,Leavenworth,85465,7901,2947,71525,40.68,34.29,42.36,39.81,53.63,41.26,56.14,41.19,43.56,43.81,55.93,37.44,51.44,46.95,63.91
29502,Kansas City,1762873,219448,91758,1385137,40.11,32.96,44.37,42.81,53.07,39.36,53.03,40.86,50.73,47.85,60.03,38.97,51.7,48.9,63.33
29503,St. Joseph,158300,5265,2772,147414,41.93,34.29,43.12,38.94,58.84,41.26,57.08,37.6,49.7,45.81,65.06,37.29,50.88,47.43,62.77
29504,Sedalia,88232,1437,1976,83014,42.77,34.53,43.88,39.96,47.72,41.14,51.15,39.57,47.85,42.38,65.36,36.5,51.89,47.43,60.8
29505,Polk,33693,431,219,32533,49.94,50.54,50.68,,,,,37.81,39.1,47.46,91.36,43.25,54.23,52.34,64.99
29506,Bethany,18093,24,140,17728,46.86,,47.34,,,,,43.08,44.13,,,41.63,54.23,49.51,65.94
29601,Columbia,302388,23580,4448,263655,42.28,31.98,44.7,39.81,52.27,37.29,54.11,36.04,48.9,43.53,52.37,40.36,52.81,46.73,60.9
29602,Eldon,79924,254,738,77581,41.93,37.31,42.62,43.86,41.81,38.14,53.5,38.03,46.35,48.54,52.37,37.21,49.4,44.87,60.22
29700,Springfield,440866,6165,6763,415669,41.42,32.29,42.36,36.9,44.24,37.14,56.34,38.28,48.65,46.06,58.22,35.88,48.01,45.38,60.22
29800,Aurora,137575,244,4168,130147,41.81,32.87,42.83,36.75,35.51,31.47,57.51,36.52,44.71,46.4,54.4,36.08,47.02,46.36,59.9
29901,Joplin,266742,3284,7223,238498,41.81,35.86,42.97,38.51,47.36,39.29,51.52,38.36,50.34,47.03,63.05,36.8,48.44,46.5,60.8
29902,Center,54651,226,511,52670,42.43,27.57,43.36,30.18,71.25,,,35.38,65.24,48.4,59.83,35.88,48.86,46.73,60.13
30000,Russellville,138646,2345,5924,127168,40.43,33.47,41.83,37.56,46.7,40.2,67.70999999999999,38.36,48.79,48.26,55.72,35.29,47.4,45.38,61.15
30100,Fort Smith,332832,11196,14003,264674,40.68,32.38,42.24,40.49,48.87,37.04,54.11,38.6,48.35,46.14,59.92,35.29,48.95,46.36,60.6
30200,Muskogee,152466,10385,4522,91137,39.11,31.01,41.9,38.74,52.06,37.45,47.98,36.29,53.63,44.95,62.51,36.57,48.86,45.65,61.65
30300,Fayetteville,384122,4060,29516,324017,41.68,34.81,43.65,36.75,46.45,40.5,54.33,40.61,53.36,46.79,55.44,38.01,49.86,46.36,60.7
30401,Stillwater,79601,2634,1668,66579,45.05,35.24,46.85,37.56,50.11,41.26,59.44,35.21,49.31,49.27,61.53,36.27,49.94,51.54,64.90000000000001
30402,Tulsa,921246,71736,41704,684305,40.81,32.68,44.37,40.38,53.07,38.62,53.35,37.29,47.76,48.4,59.92,37.65,48.75,48.9,63.07
30403,Okmulgee,51499,5254,966,35059,41.29,34.81,44.7,42.43,40.18,40.87,62.36,36.18,54.36,44.41,60.72,36.65,46.75,50.66,63.66
30501,Woodward,26123,205,1203,23866,49.94,46.93,50.94,,,,,40.18,42.75,53.33,64.27,37.38,50.26,58.82,68.99
30502,Enid,102415,3128,4102,89063,47.79,34.53,50.11,41.27,52.97,42.61,57.87,34.91,48.65,53.86,70.27,39.72,51.89,54.19,68.37000000000001
30601,El Paso,857648,20939,644828,172993,41.68,36.58,45.04,40.91,51.09,42.11,53.9,41.19,51.31,50.98,59.92,39.86,50.57,49.13,61.1
30602,Alamogordo,81709,2332,25008,48491,40.68,32.92,45.5,37.07,55.63,35.04,53.9,38.51,47.76,45.06,60.15,40.07,47.76,48.65,62.07
30603,Truth or Consequences,13270,55,3488,9356,39.96,,44.02,,,,,36.18,39.72,45.2,58.45,36.17,51.58,49.86,62.95
30604,Deming,61950,311,32885,27501,38.9,35.34,45.72,34.18,38.88,43.77,49.59,35.71,46.22,48.8,61.53,35.66,45.09,51.69,62.69
30605,Van Horn,2975,19,2149,733,47.79,,51.12,,,,,41.74,54.36,57.93,55.44,31.88,63.84,57.95,72.43000000000001
30701,Roswell,113040,1757,46927,61767,43.02,40.15,48.16,41.31,57.63,51.32,48.38,36.38,47.45,51.85,64.27,37.55,49.54,54.7,66.63
30702,Santa Rosa,6920,60,4591,2131,42.43,,49.84,,,,,42.32,46.75,46.34,61.69,37.9,57.42,55.22,52.84
30801,Hobbs,90061,3353,36174,48924,47.16,35.24,50.11,41.48,47.07,40.63,55.83,37.22,47,59.08,69.47,38.31,49.54,55.22,69.3
30802,Lubbock,287568,19823,84907,176162,40.68,31.77,47.52,38.61,50.49,39.18,53.14,37.81,48.24,47.46,62.7,39.86,51.32,51.69,64.04000000000001
30901,Clovis,73078,3304,24610,42636,42.43,36.8,48.51,41.48,58.84,41.14,60.16,37.22,50.94,47.11,59.92,38.44,49.17,52.34,64.04000000000001
30902,Littlefield,29588,873,13791,14635,44.49,33.34,54.59,36.23,41.16,43.08,53.9,38.28,47.59,52.37,62.7,46.1,51.23,56.9,67.37000000000001
30903,Amarillo,240752,12852,53650,166247,41.54,32.44,45.72,39.64,51.36,37.79,51.76,37.91,48.35,48.18,58.14,39.22,50.49,48.78,64.34
30904,Pampa,57355,1965,7473,46380,48.54,33.74,50.4,36.35,45.23,42.11,46.41,36.72,49.51,60.53,66.61,37.8,48.34,55.45,67.56
30905,Wellington,8490,306,1319,6675,46.86,35.34,52.06,37.07,24.05,47.39,55.18,34.04,55.85,50.98,70.27,42.76,52.08,56.56,67.56
30906,Memphis,9400,488,1690,7088,46.15,34.62,49.59,46.2,41.16,40.92,66.40000000000001,40.96,65.24,50.58,53.63,42.43,50.04,51.23,61.51
30907,Matador,1426,50,173,1172,44.9,,47.52,,,,,36.52,43.56,57.93,91.36,38.72,56.73,48.24,69.3
30908,Plainview,52751,2783,24052,25250,41.68,34.72,49.84,40.79,42.55,39.61,52.86,38.51,46.22,52.17,57.17,41.74,51.44,54.35,65.29000000000001
31001,Garden City,52031,437,20316,29290,42.36,38.26,49.84,33.75,24.05,43.3,53.5,38.7,48.04,50.84,62.94,40.74,52.36,54.7,65.56
31002,Ulysses,15778,67,4499,10926,49.09,,50.94,,,,,37.41,46.61,56.79,62.84,38.85,50.26,56.9,67.47
31003,Scott City,9185,8,966,8108,51.13,,53.72,,,,,41.95,46.22,62.43,56.56,42.76,52.81,56.56,69.87000000000001
31004,Liberal,32998,837,10621,20217,44.49,36.93,51.12,38.74,46.45,46.67,41.67,39.99,49.82,54.83,58.14,42.57,49.54,55.59,67.12000000000001
31005,Perryton,17432,22,5186,11920,52.01,,54.59,,,,,40.18,49.13,71.49,63.44,43,51.89,60.1,70.25
31006,Guymon,29937,153,7855,21125,48.54,40.81,52.06,31.58,53.87,,,41.95,48.35,59.08,63.22,40.36,50.74,58.43,65.47
31007,Dumas,31880,634,12082,18565,46.02,40.15,51.42,43.21,49.7,51.32,51.62,39.89,44.71,54.83,62.94,39.31,50.74,57.95,68.04000000000001
31101,Victoria,165277,10501,55032,96672,45.05,35.69,52.31,40.79,47.9,44.7,60.85,37.76,49.13,53.05,62.7,41.87,53.84,57.95,68.37000000000001
31102,La Grange,42194,4470,6810,30436,45.21,35.86,53.72,41.76,50.49,45.4,55.35,40.61,54.36,54.83,65.36,44.72,55.59,56.56,70.25
31103,Gonzales,18628,1493,7381,9539,42.06,33.22,48.82,39.81,55.28,42.9,70.27,39.4,52.49,53.05,65.65000000000001,39.72,53.84,54.35,65.56
31201,Austin,1298076,101305,336414,792701,40.68,33.07,47.34,41.48,53.07,38.47,52.38,41.19,51.72,47.03,58.89,42.25,52.2,50.35,63.07
31202,Burnet,51191,551,5919,43886,42.43,37.31,44.92,35.94,54.46,37.95,67.70999999999999,38.36,48.45,48.68,63.63,38.61,50.26,46.95,61.65
31301,San Antonio,1724863,102732,868127,704071,40.55,34.53,47,42.22,55.28,39.57,53.25,41.12,52.11,47.7,58.89,41.05,52.46,51.09,64.04000000000001
31302,Beeville,47805,4748,24774,17661,44.25,37.6,51.79,38.34,51.36,49.4,60.85,39.31,51.57,53.86,66.61,43,58.96,57.25,70.25
31303,Kerrville,64467,768,11662,51034,43.16,33.89,48.82,42.81,50.61,37.29,65.23,41.38,50.55,44.26,61.43,41.51,52.75,51.69,66.93000000000001
31304,Mason,3738,5,783,2912,47.16,,53.72,,,,,36.52,43.93,51.5,68.06999999999999,45.26,55.14,59.4,66.93000000000001
31401,Midland,262282,13747,95311,148138,49.09,36.93,52.61,41.31,55.83,45.84,62.88,39.99,49.82,60.53,68.06999999999999,40.36,51.79,58.82,70.65000000000001
31402,Pecos,31286,841,17383,12711,50.87,41.19,50.11,41.37,47.54,54.19,41.67,38.03,49.47,71.49,72.2,36.99,47.76,57.66,72.43000000000001
31403,Fort Stockton,20908,718,12504,7399,49.94,50.54,57.1,47.09,38.88,,,39.4,51.12,62.43,68.06999999999999,38.54,51.05,67.09,70.25
31404,Alpine,18377,113,10812,7165,45.57,46.93,51.12,,,,,40.48,47.59,60.53,63.22,39.41,49.07,53.64,59.38
31501,Crystal City,21848,110,19290,2274,43.91,44.34,48.04,,,,,41.06,50.94,56.11,67.41,40.07,57.42,57.25,73.87000000000001
31502,Pearsall,22118,969,16511,4458,42.88,34.43,49.59,,,,,41.12,54.03,54.83,63.9,41.21,47.4,56.01,68.37000000000001
31503,Laredo,210580,338,197150,11753,41.93,32.56,44.92,40.32,43.65,37.62,35.11,42.45,53.82,53.05,63.9,42.43,52.2,51.81,60.04
31600,Brownsville,978369,3250,855323,111534,43.34,40.81,44.28,47.09,51.93,48.1,55.35,43.34,53.82,54.18,60.15,40.56,52.46,51.38,61.1
31700,Corpus Christi,503493,16628,285775,189393,43.52,35.01,47.2,40.57,53.29,41.85,56.14,39.82,50.23,54.18,63.44,39.22,50.66,53.16,66.08
31800,College Station,208437,27086,35810,136360,40.93,32.68,48.82,39.58,51.88,39.99,54.01,39.24,51.81,50.42,59.66,40.74,51.14,52.78,64.79000000000001
31900,Pearland,320912,31021,79849,199784,44.25,36.03,48.29,42.22,53.63,45.07,56.78,38.77,49.44,56.11,66.04000000000001,38.9,50.2,54.7,67.47
32000,Houston,4504013,769376,1301061,2138292,42.2,34.06,47.79,42.81,54.77,39.9,53.35,43.34,52.49,53.33,63.44,40.89,52.31,52.54,65.81999999999999
32100,Beaumont,497770,112122,37390,332990,41.93,34.53,47.34,40.45,49.56,42.22,55.07,35.38,49.44,55.5,64.53,34.72,47.24,54.19,67.47
32201,Huntsville,191792,37320,24657,126570,40.43,32.22,46.02,40.1,51.3,39.12,54.47,39.57,45.35,50.84,60.15,37.1,50.1,50.66,64.69
32202,Nacogdoches,103842,18219,9658,74365,41.29,32.87,47.79,39.58,52.68,41.6,58.25,39.09,49.91,52.71,65.36,36.9,50.57,52.96,65.56
32301,San Angelo,113973,4233,34745,72458,42.36,33.74,48.04,39.9,51.59,39.69,51.15,37.06,48.55,48.8,59.3,38.61,50.04,53.3,65.69
32302,Brady,23666,315,7230,15850,45.8,35.34,51.12,41.59,36.97,37.52,74.25,35.71,45.35,52.37,61.03,40.07,54.86,56.24,66.26000000000001
32303,Junction,6828,13,1674,5048,40.55,,42.72,,,,,37.41,44.31,46.5,57.93,34.64,53.44,48.4,67.79000000000001
32304,Uvalde,35212,81,20857,13872,44.09,38.85,50.68,34.18,53.87,,,39.4,49.44,52.17,63.05,41.87,52.36,53.64,71.3
32305,Del Rio,49316,653,36081,11850,45.57,36.8,50.68,43.58,50.11,38.92,80.13,40.28,52.64,56.11,62.01,40.36,50.04,56.01,66.51000000000001
32306,Eagle Pass,47297,53,44938,1610,43.91,43.41,49.44,,,,,41.95,55.85,56.79,65.36,39.06,41,57.66,69.3
32401,Big Spring,54073,2678,21972,28569,46.02,36.58,51.12,40.99,55.28,43.77,62.88,37.91,51.12,56.79,69.47,41.87,52.08,56.39,70.65000000000001
32402,Sweetwater,20146,823,5359,13730,44.25,33.38,48.82,34.18,33.9,49.4,74.25,38.7,49.13,53.59,57.67,37.73,53.32,54.92,68.99
32403,Snyder,26918,2215,7631,16790,46.86,40.38,49.84,42.61,47.36,50.29,66.40000000000001,36.29,47,59.08,65.06,36.8,52.81,56.24,69.87000000000001
32501,Abilene,191518,11321,31131,144134,43.65,34.81,47,40.99,52.02,39.69,53.14,38.77,49.44,48.68,60.34,38.22,50.66,51.38,64.79000000000001
32502,Childress,9592,1250,1934,6271,42.77,39.49,48.04,48.01,71.25,40.42,49.67,35.71,46.75,49.65,62.7,37.44,49.86,54.7,69.3
32503,Haskell,15157,723,3209,11013,45.21,35.69,51.12,37.72,45.23,48.1,65.23,38.85,39.1,54.18,67.41,42.76,52.55,53.84,69.51000000000001
32601,Wichita Falls,151524,13293,16932,115070,42.36,33.07,45.72,39.72,55.63,38.84,56.5,39.82,47.33,46.25,60.56,38.38,51.14,49.25,63.66
32602,Graham,28556,699,2770,24642,47.79,33.38,49.84,44.57,83.54000000000001,36.94,43.52,35.38,43.93,55.5,64.53,37.55,52.55,55.45,68.04000000000001
32603,Seymour,4093,135,382,3511,48.04,26.49,48.94,,,36.05,35.11,45.53,65.24,60.53,52.67,44.72,55.59,52.17,70.25
32604,Vernon,21022,1557,3965,15091,42.28,32.49,46.71,35.5,33.9,37.21,44.9,36.29,39.72,48.18,56.99,39.56,54.71,50.8,66.63
32701,Brownwood,58246,1893,9086,46360,43.79,35.51,46.47,40.57,54,40.42,56.5,39.02,52.33,50.58,63.63,38.97,51.05,50.53,63.66
32702,Stephenville,55256,330,8497,45613,44.9,46.93,49.13,50.66,61.9,48.1,46.95,37.14,44.31,51.85,63.63,38.72,50.66,53.64,64.69
32801,Waco,281618,39808,47638,187958,39.11,31.69,45.4,39.24,52.17,36.81,51.76,38.28,49.7,45.2,59.83,39.72,52.31,49.4,64.04000000000001
32802,Corsicana,100377,16649,12650,69496,41.81,34.43,47.34,40.99,51.36,40.54,55.83,38.13,50.41,51.5,57.3,38.13,50.95,51.54,67.37000000000001
32900,Killeen,330714,63831,51802,195743,39.36,33.89,43.45,40.19,51.02,39.29,51.37,39.24,49.91,46.79,55.81,37.65,49.86,47.67,62.69
33000,Fort Worth,1804370,188684,320716,1204520,41.06,32.77,45.72,41.27,52.84,38.62,51.03,40.38,50.94,49.08,60.87,38.9,50.49,49.86,63.14
33100,Dallas,3405666,513355,802689,1886750,39.21,32.49,46.02,41.76,54.18,38.05,51.25,42.45,52.11,47.77,59.43,41.37,52.55,49.13,63.14
33200,Paris,185835,19442,12286,149899,40.43,32.44,44.28,39.85,47.9,39.29,54.11,38.6,51.43,47.11,58.34,37.9,49.63,47.86,61.38
33300,Tyler,434643,61879,42778,322298,41.29,33.74,45.86,40.99,50.25,40.29,54.11,38.13,47.45,50.1,61.53,37.29,48.34,50.12,63.91
33400,Longview,289849,56056,19952,208807,41.42,33.89,46.71,40.1,51.36,41.85,53.5,36.04,45.35,53.86,61.85,36,47.54,52,66.26000000000001
33500,Texarkana,235988,47515,16380,167558,39.11,32.96,43.75,38.84,49.23,41.42,53.78,37.7,51.72,49.97,61.19,35.76,49.17,49.13,63.07
33601,Lawton,171610,22543,12183,119716,42.52,36.03,45.86,40.68,50.34,40.78,53.78,38.13,48.55,51.18,62.7,37.29,49.79,51.54,63.43
33602,Altus,48010,3542,6334,35493,43.16,33.64,47.9,36.35,49.46,40.5,49.18,37.81,53.49,50.1,65.65000000000001,39.31,52.2,52.17,61.81
33603,Frederick,9287,828,1641,6364,42.2,27.57,47.67,36.75,45.61,23.91,54.47,34.36,25.19,49.97,70.27,39.86,46.17,51.09,67.56
33700,Ardmore,117982,4963,4603,92951,43.65,33.34,45.63,39.9,47.72,37.04,54.74,36.88,53.14,51.85,63.9,36.99,47.9,50.53,65.81999999999999
33801,Elk City,60885,1857,4047,51009,48.54,35.34,51.79,39.31,55.83,41.6,63.53,37.6,42.75,53.33,65.36,39.06,49.4,55.22,68.69
33802,Chickasha,75666,2251,3210,58482,43.02,33.34,47.52,38.02,52.68,39.99,60.16,37.76,52.11,45.31,60.56,38.38,48.54,52.78,67.47
33803,Oklahoma City,1154246,115473,74994,846671,41.17,33.64,44.7,41.05,51.97,40.2,52.38,39.24,48.04,46.66,59.43,38.13,49.94,48.9,63.43
33901,Ada,69207,2185,1486,51411,42.88,34.06,45.4,37.72,45.61,40.29,64.20999999999999,36.29,51.81,43.47,68.64,38.22,50.88,49.02,62.95
33902,Sherman,178371,9386,10239,147975,41.17,31.77,43.65,38.88,49.36,36.81,53.9,37.6,44.91,48.04,59.83,38.38,50.42,46.95,62.27
34001,Hot Springs,210357,28826,6665,170437,38.42,32.22,41.57,39.64,52.02,39.79,52.95,36.97,46.75,46.66,60.03,36.8,49.17,44.08,60.6
34002,Idabel,97397,5720,5316,73587,41.54,33.64,44.17,39.77,52.27,39.99,43.52,39.82,48.04,47.4,59.53,35.88,45.09,48.9,63.14
34101,Sand Point,2697,42,339,521,35.56,,50.11,,,,,,,,,43.57,41,63.51,52.84
34102,Anchorage,369296,15285,17371,275420,39.36,34.89,42.36,45.22,53.49,44.7,52.66,44.71,51.43,49.27,59.75,41.87,50.49,53.84,65.47
34103,Valdez,10195,33,286,7612,39.51,26.49,42.01,,,,,38.51,44.56,47.28,31.96,40.56,48.12,55.59,67.69
34104,Bristol Bay,1258,7,7,656,38.06,,47.67,,,,,,,,,52.68,43.88,67.09,52.84
34105,Kotzebue,7208,15,57,878,28.98,,48.04,,,,,,,,,38.44,50.88,45.65,67.47
34106,Nome,9196,35,92,1752,28.98,16.45,37.56,,,,,,,,,37.44,49.4,52,68.04000000000001
34107,Dillingham,6745,19,132,1373,28.98,,48.69,,,,,,,,,43,49.72,60.1,66.93000000000001
34108,Kodiak,13913,129,848,8001,38.33,38.85,46.47,30.18,61.9,37.14,50.67,42.13,40.69,54.83,47.46,41.63,48.44,56.39,60.04
34109,Juneau,37347,238,1073,24458,37.18,39.49,42.72,48.01,33.9,60.29,54.74,53.67,57.38,38.59,62.7,44.01,52.31,52.34,63.8
34110,Sitka,15519,39,422,10773,38.9,26.49,43.88,,,,,44.27,39.72,53.33,51.95,38.31,49.26,53.84,58.31
34111,Ketchikan,20216,76,479,13492,36.61,16.45,42.13,,,,,45.53,48.65,52.37,72.2,38.61,48.54,52.78,60.49
34112,Bethel,23034,63,163,2288,28.98,,46.02,,,,,35.71,35.08,44.41,51.11,44.48,50.57,52.96,60.13
34113,Barrow,7385,51,175,1228,33.44,,44.7,,,,,30.69,73.87000000000001,,,46.1,41,50.35,63.8
34114,Unalaska,5465,165,573,2059,38.2,32.56,45.15,,,,,40.06,50.94,51.85,51.95,31.88,54.37,55.22,64.99
34115,Fairbanks,97458,4843,3685,69296,38.2,33.47,42.97,38.15,50.61,40.42,56.34,41.06,52.11,49.42,62.22,39.31,50.42,55.75,66.08
34201,Havre,25840,25,282,18999,41.06,,52.31,,,,,31.4,45.88,44.62,39.99,42.76,52.64,54.7,63.22
34202,Shelby,24938,25,274,14934,38.57,,52.93,,,,,47.76,35.08,43.7,72.2,42.06,51.7,56.24,64.79000000000001
34203,Great Falls,95101,861,2075,85339,46.32,40.15,48.69,41.27,36.97,43.55,57.87,38.7,48.9,44.26,65.06,40.89,52.31,52.54,63.22
34204,Lewistown,12386,10,102,11980,50.37,,51.42,,,,,46.25,49.91,,,45.78,54.37,55.75,66.63
34301,Cody,37247,28,1666,34883,51.13,45.29,52.93,,,,,38.93,35.08,56.79,61.03,39.06,47.9,58.82,67.12000000000001
34302,Worland,13171,25,1067,11757,49.45,,51.42,,,,,39.51,44.91,53.86,66.61,42.25,50.26,54.92,68.37000000000001
34303,Riverton,35804,43,1566,26693,43.16,45.29,51.42,40.68,24.05,,,41.06,44.13,50.42,64.27,39.22,50.74,57.25,68.99
34304,Sheridan,46306,53,1259,36350,44.49,36.03,52.93,,,,,38.03,49.82,50.98,53.32,41.74,53.44,57.95,67.37000000000001
34305,Miles City,12895,11,185,12399,50.37,,51.79,,,,,39.99,30.85,56.11,75.55,43,53.84,58.82,68.99
34306,Jordan,1279,1,5,1264,52.92,,54.13,,,,,,,,,44.72,63.84,56.39,60.49
34307,Colstrip,12102,22,243,8585,40.27,,53.5,,,,,33.31,41.97,47.46,62.94,43.57,51.32,57.66,68.99
34308,Billings,152638,577,5207,140080,47.47,37.9,49.84,37.56,31.02,40.63,54.24,37.6,50.09,44.08,60.72,41.74,50.88,54.19,65.69
34309,Harlowton,4191,3,54,4047,52.53,,53.22,,,,,,,,,43.25,51.32,54.51,66.77
34401,Dillon,9202,12,246,8687,49.94,,51.12,,,,,37.29,33.48,62.43,42.94,41.21,52.36,56.39,61.81
34402,Bozeman,93985,211,1519,89708,48.54,30.24,49.59,41.31,71.25,35.82,74.25,38.6,50.55,59.08,63.05,41.51,52.08,53.44,63.56
34403,Helena,70150,129,1050,66349,45.36,33.29,47.2,,,,,38.43,50.23,47.2,54.4,41.05,52.08,50.53,62.86
34404,Butte-Silver Bow,54033,96,1281,50588,46.15,43.41,47.2,,,,,42.32,56.55,50.1,68.06999999999999,40.89,54.55,52,66.08
34501,Bonners Ferry,9871,9,335,9198,46.86,,49.13,,,,,35.38,39.49,62.43,80.40000000000001,38.01,43.88,53.64,62.86
34502,Libby,18837,19,271,17917,46.32,,47.67,,,,,43.69,42.34,43.61,53.32,38.13,49.4,52.78,63.43
34503,Kalispell,111205,151,1888,99049,44.9,41.19,47.79,37.07,56.08,47.39,80.13,35.06,39.49,47.35,60.87,39.22,48.86,51.23,62.07
34504,Missoula,135756,308,2282,127312,45.8,48.86,47,49.3,58.84,60.29,39.95,37.14,50.94,54.18,63.9,39.86,49.94,51.69,62.6
34601,Gillette,46229,58,1382,43728,52.92,16.45,54.13,,,,,40.18,46.35,62.43,58.89,41.21,51.14,61.54,70.65000000000001
34602,Rawlins,15639,103,2163,12892,46.86,45.29,48.04,,,,,39.31,47.33,57.93,56.91,37.38,49.94,54.51,69.51000000000001
34603,Casper,78585,491,3917,72095,49.09,36.58,50.94,48.01,45.48,45.84,60.16,41.19,45.35,55.5,64.87000000000001,40.36,51.58,57.45,69.51000000000001
34604,Lusk,2407,3,36,2337,53.7,,55.11,,,,,,,,,46.47,48.75,59.4,72.43000000000001
34701,Honolulu,876156,19583,58729,175633,45.21,39.13,45.5,44.57,51.02,45.07,54.47,39.99,49,49.42,59.83,39.41,50.95,49.99,60.9
34702,Kapaa,58463,163,4803,16284,43.91,42.37,44.83,34.66,63.68,54.19,61.54,44.71,51.31,45.68,62.01,45.49,45.09,47.11,58.64
34703,Kahului,128241,481,10050,40918,43.16,43.41,46.27,53.68,53.07,42.36,51.88,41.38,49.51,48.89,55.93,42.57,51.98,49.65,57.62
34801,Las Vegas,49495,231,34455,13648,39.96,33.64,46.27,33.75,44.75,40.54,59.44,40.96,53.63,44.95,56.72,39.72,53.44,49.02,61.38
34802,Santa Fe,218804,896,112955,89582,39.11,34.43,45.63,50.66,52.58,34.72,52.11,41.95,52.64,44.08,57.17,43.25,50.95,49.13,61.02
34803,Tucumcari,10965,81,4221,6381,42.28,29.64,48.16,,,,,35.89,44.56,47.2,51.11,39.06,52.31,51.81,58.86
34804,Clayton,4174,0,1465,2618,45.57,,51.79,,,,,41.52,54.87,45.36,63.44,47.97,52.81,49.99,61.94
34805,Alamosa,46190,149,21489,23288,43.02,36.36,49.59,,,44.02,54.47,39.24,51.57,45.68,58.56,40.56,49.79,53.44,64.51000000000001
34901,Albuquerque,755244,16303,311211,356288,38.57,35.14,44.28,40.49,52.84,40.63,49.95,39.02,49.13,43.7,57.56,39.56,50.1,48.78,60.49
