cz,cz_name,cz_pop2000,cz_pop_black2000,cz_pop_hisp2000,cz_pop_white2000,kfr_pooled_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,kir_black_female_p25,kir_black_female_p75,kir_black_male_p25,kir_black_male_p75,kir_hisp_female_p25,kir_hisp_female_p75,kir_hisp_male_p25,kir_hisp_male_p75,kir_white_female_p25,kir_white_female_p75,kir_white_male_p25,kir_white_male_p75
17501,Cumberland,155822,5084,1006,147925,42.52,34.72,43.12,39.54,46.45,38.47,58.25,41.74,44.71,53.05,51.11,37.1,52.75,46.59,63.66
17502,Winchester,115649,5004,2828,105532,40.93,35.51,42.36,42.61,53.29,42.36,56.14,41.74,50.09,41.97,55.72,37.9,51.89,46.23,61.65
17600,Charlottesville,273489,44895,5159,214149,38.57,33.01,42.36,40.79,53.49,37.79,52.86,42.66,44.91,47.46,58.81,39.22,52.36,44.22,60.13
17700,Syracuse,1080612,60123,23802,962050,41.42,30.76,43.65,40.19,51.54,35.04,49.95,37.91,53.49,43.61,57.93,40.36,54.98,47.67,64.04000000000001
17800,Oneonta,161132,1946,2702,153829,43.65,33.29,44.37,31.58,51.65,41.02,57.51,42.13,52.99,47.77,56.41,40.36,54.55,47.51,61.38
17900,Union,294558,6643,4780,272948,42.52,33.34,43.54,39.54,49.56,35.74,51.52,40.28,47.69,45.43,64.27,38.54,54.37,47.67,62.27
18000,Buffalo,2369699,246943,83691,1962695,41.17,31.16,45.27,40.79,51.76,36.05,49.59,38.6,51.43,43.19,57.05,40.74,54.55,49.65,64.04000000000001
18100,Elmira,346894,10294,5822,316605,42.67,33.47,43.54,37.84,48,38.14,54.93,41.52,51.57,43.53,57.3,38.38,53.44,47.51,63.22
18201,Olean,197898,2069,1833,188894,43.34,37.31,44.52,34.18,49.01,54.19,57.08,32.51,46.08,42.84,58.34,37.65,52.75,48.65,65.09
18202,St. Marys,41086,68,176,40525,45.05,16.45,45.63,,,,,,,52.71,55.72,38.54,54.12,49.51,66.51000000000001
18300,Watertown,250613,8888,6857,228529,42.88,36.93,43.75,40.45,49.01,43.77,50.04,41.12,47.33,46.4,61.53,38.44,53.08,47.11,64.19
18400,Plattsburgh,169879,6899,4868,152308,42.67,41.19,44.02,40.91,59.78,50.29,65.23,34.36,53.36,47.4,61.03,39.41,54.12,47.34,62.6
18500,Amsterdam,110160,1418,4374,102681,42.06,35.51,42.97,35.5,40.18,41.14,55.07,39.82,52.33,45.2,56.26,40.07,54.71,48.4,64.04000000000001
18600,Albany,1061509,58175,25933,944597,42.77,33.15,44.92,42.81,55.63,37.36,54.01,40.61,54.36,45.68,58.45,41.63,56.26,49.51,65.38
18700,Sunbury,191962,4507,3198,181880,45.8,39.13,46.47,38.44,50.69,50.29,57.87,37.6,45.88,46.79,58.45,40.74,54.12,49.99,65.09
18800,Scranton,857487,18545,19788,805638,44.74,35.01,46.02,42.61,48.65,38.54,51.88,40.75,48.65,48.18,58.66,41.63,55.83,49.65,64.28
18900,Williamsport,227275,5719,1474,216889,44.74,31.46,46.02,36.65,51.76,36.7,57.51,34.04,54.36,43.04,57.56,38.31,53.08,49.86,65.29000000000001
19000,Allentown,637958,17017,50607,552429,43.52,34.43,46.85,40.49,51.59,39.79,52.31,40.18,54.03,44.26,58.66,42.25,55.83,50.91,65.47
