par_pctile,count_pooled,count_aian_pooled,count_asian_pooled,count_black_pooled,count_hisp_pooled,count_white_pooled,density_aian_pooled,density_asian_pooled,density_black_pooled,density_hisp_pooled,density_white_pooled,kfr_aian_pooled,kfr_asian_pooled,kfr_black_female,kfr_black_male,kfr_black_pooled,kfr_hisp_pooled,kfr_nativemom_aian_pooled,kfr_nativemom_asian_pooled,kfr_nativemom_black_pooled,kfr_nativemom_hisp_pooled,kfr_nativemom_white_pooled,kfr_pooled,kfr_white_female,kfr_white_male,kfr_white_pooled,kid_college_black_female,kid_college_black_male,kid_college_white_female,kid_college_white_male,kid_hours_black_female,kid_hours_black_male,kid_hours_white_female,kid_hours_white_male,kid_jail_black_female,kid_jail_black_male,kid_jail_white_female,kid_jail_white_male,kid_married_black_pooled,kid_married_white_pooled,kid_no_hs_black_female,kid_no_hs_black_male,kid_no_hs_white_female,kid_no_hs_white_male,kid_pos_hours_black_female,kid_pos_hours_black_male,kid_pos_hours_white_female,kid_pos_hours_white_male,kid_wage_rank_black_female,kid_wage_rank_black_male,kid_wage_rank_white_female,kid_wage_rank_white_male,kir_black_female,kir_black_male,kir_black_pooled,kir_white_female,kir_white_male,kir_white_pooled,kir_1par_black_male,kir_1par_white_male,kir_2par_black_male,kir_2par_white_male,kir_par_nohome_black_male,kir_par_nohome_white_male,spouse_rank_black_female,spouse_rank_black_male,spouse_rank_white_female,spouse_rank_white_male
57,213100,1400,5600,18700,21000,154600,.8775,.8181000000000001,.6794,.8016,1.146,42.7,60.13,42.52,37.93,40.24,49.82,42.2,53.15,40.77,49.59,55.69,52.75,55.47,53.79,54.61,68.8,53.24,70.33,58.06,28.54,29.02,28.18,38.03,.3247,6.884,.2025,1.254,21.73,55.13,10.03,17.17,8.468999999999999,12.43,84.37000000000001,79.04000000000001,82.19,92.56,45.13,43.04,45.52,52.04,48.45,46.13,47.29,46.15,57.82,52.12,43.78,56.42,48.13,58.11,44.31,56.52,40.97,34.25,60.95,49.7
58,213100,1500,5900,18300,20500,155000,.9077,.8619,.6649000000000001,.7826,1.149,42.63,61.3,42.18,38.29,40.25,50.31,42.27,54.38,40.94,49.65,55.81,53.11,55.86,53.97,54.9,70.52,51.54,71.72,58.67,28.93,27.28,28.57,37.75,.3718,5.967,.1573,1.322,20.99,55.36,11.57,19.42,8.43,12.53,83.11,75.65000000000001,82.76000000000001,92.09999999999999,47.99,45.65,46.82,51.83,48.05,46.84,47.45,46.68,58,52.48,45.31,56.64,48.09,58.25,46.73,56.4,40.54,34.01,61.12,49.85
59,213100,1400,5600,17900,19800,156100,.8472,.8181000000000001,.6504,.7559,1.157,41.93,60.25,42.88,38.25,40.57,50.09,41.65,53.07,41.15,49.11,56.05,53.36,56.18,54.22,55.19,71.34,51.65,72.75,59.63,29.38,26.34,28.07,38.38,.2735,5.322,.1624,1.133,21.65,55.61,10.35,18.18,8.210000000000001,12.05,84.79000000000001,74.31,82.31,92.93000000000001,47.29,42.2,46.52,52.36,48.86,46.68,47.77,46.97,58.32,52.75,44.88,56.84,48.04,58.61,46.95,56.1,40.89,34.19,61.25,49.91
60,213100,1400,5700,17300,19800,157000,.8472,.8327,.6286000000000001,.7559,1.164,43.86,60.5,42.95,39.03,41.03,50.29,44.07,57.9,41.18,50.75,56.52,53.75,56.54,54.6,55.54,72.75,55.54,73.13,60.53,30.13,28.09,28.3,38.4,.3474,5.772,.1854,1.174,21.69,56.11,9.130000000000001,18,7.759,11.77,84.51000000000001,78.16,82.51000000000001,92.68000000000001,46.93,46.58,47.26,52.07,48.84,47.43,48.14,47.04,58.59,52.95,45.84,56.82,48.54,58.9,44.93,56.05,40.77,34.6,61.64,50.22
61,213100,1400,5600,17100,19200,158000,.8472,.8181000000000001,.6213,.7329,1.171,44.87,61.12,42.93,39,40.94,50.68,46.31,55.84,41.47,50.35,56.79,54.01,56.79,54.81,55.78,71.62000000000001,53.6,73.34,60.95,28.89,27.98,28.29,38.15,.3748,6.21,.1794,1.115,22.25,56.07,10.03,16.05,7.43,11.31,83.58,76.09,81.93000000000001,92.95,48.67,45.64,47.06,52.52,49.06,47.32,48.18,47.23,58.85,53.18,45.51,57,48.54,59.17,45.02,57.46,40.54,34.69,61.79,50.22
62,213100,1300,5700,16700,18700,159000,.8169,.8327,.6068,.7139,1.179,44.38,61.24,43.61,39.54,41.59,51.16,45.16,53.97,42.04,50.71,57.04,54.36,57.11,55.02,56.04,70.18000000000001,52.93,73.23,60.84,29.5,30.11,28.68,38.22,.2788,5.614,.1799,1.093,22.77,56.37,10.18,16.48,7.88,11.8,83.02,80.88,82.97,92.75,48.82,46.1,46.64,52.71,49.47,47.82,48.64,47.5,59,53.39,46.43,56.88,48.73,59.32,47.13,56.52,41.15,35.11,61.94,50.4
63,213100,1300,5500,16000,18200,160500,.8169,.8035,.5813,.6947,1.19,42.83,61.22,43.36,39.56,41.47,50.93,44.28,55.63,41.63,50,57.25,54.77,57.49,55.6,56.52,71.45,57.64,74.22,62.32,28.85,29.4,28.79,38.2,.1731,5.218,.182,1.082,22.86,56.78,10.53,16.09,7.109,11.15,85.84,77.62000000000001,82.90000000000001,92.56999999999999,43.61,46.54,47.29,53.15,49.09,48.08,48.58,47.93,59.54,53.89,45.65,57.81,49.54,59.79,46.05,57.68,41.3,35.13,62.15,50.68
64,213100,1300,5700,15700,17700,161500,.7867,.8327,.5705,.6757,1.197,43.47,61.71,43.78,39.65,41.72,51.59,42.04,55.47,41.81,50.84,57.76,55.1,57.73,55.84,56.75,70.72,55.06,75.01000000000001,62.04,28.93,28.25,29.13,38.4,.4128,5.498,.1622,1.047,23.18,56.84,8.880000000000001,17.03,7.13,11.18,80.94,76.83,83.43000000000001,92.87000000000001,44.19,43.47,47.79,53.74,49.47,47.77,48.63,47.95,59.79,54.04,46.37,57.9,48.55,60.06,45.46,57.31,41.83,35.27,62.36,50.84
65,213100,1200,5700,15600,17500,162000,.7563,.8327,.5669,.668,1.2,43.42,62.33,43.89,40.25,42.07,51.7,44.6,57.95,41.54,51.06,57.59,55.37,58.09,55.99,57.02,72.01000000000001,53.15,75.52,63.51,28.97,31.2,28.84,38.31,.2547,5.511,.1372,1.001,23.43,57.04,9.119,16.12,6.96,10.92,82.63,82.66,83.12000000000001,92.65000000000001,47.4,47.79,48.63,53.97,49.72,48.35,49.03,48.4,59.76,54.22,46.31,58.11,49.5,59.99,48.22,57.79,41.51,35.5,62.43,51.07
66,213100,1200,5700,15200,17300,162600,.7261,.8327,.5522,.6604,1.205,44.7,61.68,43.97,39.93,41.95,51.81,42.04,57.18,41.79,51.89,57.86,55.57,58.31,56.2,57.22,72.8,56.72,75.25,63.79,30.44,28.14,28.77,38.47,.2893,4.814,.1409,1.04,23.29,57.31,9.148999999999999,16.5,7,11.14,86.81,78.31,82.84,93.19,44.56,47.09,48.09,53.61,49.52,47.95,48.73,48.5,60.06,54.43,46.31,57.59,48.79,60.38,47.29,58.04,41.79,35.56,62.68,51.12
67,213100,1200,5900,15000,16800,163500,.7563,.8619,.545,.6413,1.212,44.95,61.53,44.24,40.3,42.27,52.15,45.28,57.11,42.56,52.77,58.52,56.01,58.7,56.68,57.65,72.88,56.96,76.5,64.93000000000001,31.61,28.46,29.04,38.76,.3075,4.944,.1474,.9858,23.23,57.68,9.210000000000001,15.33,7.12,10.22,87.88,77.47,83.22,93.59,47.67,48.77,48.41,54.47,50.04,48.45,49.25,48.79,60.47,54.79,45.63,58.29,49.75,60.75,46.81,58.35,41.62,35.67,62.96,51.39
68,213100,1200,5700,14800,16800,164000,.7261,.8327,.5377999999999999,.6413,1.216,45.78,62.47,44.6,40.8,42.7,52.18,45.59,56.63,43.11,51.74,58.43,56.2,58.81,56.84,57.79,75.45,56.87,76.86,64.84,31.29,29.77,29.07,38.68,.3156,4.699,.179,.9229000000000001,23.57,57.77,7.99,15.33,6.759,10.39,87.63,79.27,83.40000000000001,93.62000000000001,46.22,48.06,48.82,54.7,50.21,49.13,49.67,48.91,60.62,54.9,47.17,58.13,50.08,60.9,48.08,58.5,41.95,35.78,62.86,51.47
69,213100,1200,5700,14300,16100,165500,.7261,.8327,.5195,.6146,1.226,45.87,62.15,45.05,41.21,43.09,52.4,45.7,56.15,44.19,52.29,58.93,56.63,59.2,57.23,58.2,74.13,56.56,77.5,66.40000000000001,29.79,31.01,29.3,38.62,.1835,4.575,.1411,.9236,24.29,58.04,9.109,17.55,6.48,10.02,86.58,81.33,83.23,93.40000000000001,46.28,46.52,49.73,55.06,50.61,49.56,50.08,49.22,61.04,55.28,47.67,58.55,50.38,61.32,46.59,58.26,42.27,36.06,63.15,51.71
70,213100,1100,5600,13900,16000,166100,.6959,.8181000000000001,.5051,.6107,1.231,46.7,63.22,44.93,41.21,43.09,53.1,45.7,57.09,43.36,52.54,59.13,56.96,59.5,57.47,58.46,73.52,59.82,77.56,66.56,28.64,30.92,29.45,38.79,.3928,5.073,.1321,.9074,24.25,58.08,7.23,16.46,6.48,9.94,82.83,81.65000000000001,84.68000000000001,93.49,48.15,50.04,49.65,55.16,50.93,49.49,50.21,49.5,61.22,55.5,47.29,58.9,50.36,61.46,49.77,58.88,41.74,36.2,63.33,51.84
71,213100,1100,5600,13600,15900,167000,.6959,.8181000000000001,.4941,.6069,1.238,47.45,63.35,45.13,41.4,43.27,52.79,47.27,61.61,43.56,52.52,59.61,57.38,60,57.93,58.95,75.01000000000001,55.93,78.76000000000001,67.54000000000001,31.15,29.14,29.51,38.94,.2911,4.631,.1303,.915,23.36,58.56,7.7,14.77,6.49,9.579000000000001,88.08,78.7,84.37000000000001,94.26000000000001,51.89,48.7,50.09,55.25,50.95,49.81,50.38,49.85,61.58,55.86,47.29,59,50.75,61.84,50.13,59.38,41.59,35.87,63.68,52.15
72,213100,1100,5800,13300,15600,167500,.6657,.8472,.4832,.5956,1.241,46.9,62.64,45.59,41.61,43.61,53.29,48.61,57.25,44.15,53.3,60.03,57.7,60.34,58.2,59.25,74.59,61.43,78.76000000000001,67.84,31.12,30.92,29.67,38.73,.3654,4.269,.1583,.8568,24.67,58.85,8.718999999999999,13.68,6.4,9.720000000000001,88.3,80,83.88,93.66,48.06,48.64,50.2,55.43,50.91,49.63,50.27,50.21,61.86,56.19,46.46,59.02,50.72,62.14,47.14,59.31,43.29,36.61,63.87,52.31
73,213100,1000,5700,13200,15200,168100,.6353,.8327,.4796,.5803,1.245,46.93,63.32,46.02,41.77,43.92,53.93,48.23,62.47,44.6,53.9,60.29,57.96,60.58,58.38,59.45,75.58,59.67,79.66,68.75,30.9,31.29,29.78,39.09,.244,4.495,.1349,.8355,24.64,58.72,7.139,13.65,6.169,9.489000000000001,87.36,85.99,84.55,93.77,46.5,45.34,50.32,56.78,51.3,49.95,50.63,50.44,62.07,56.43,47.04,59.54,50.9,62.32,49.5,59,42.72,36.34,63.89,52.27
74,213100,1000,5600,13000,14900,168500,.6051,.8181000000000001,.4724,.5687,1.248,48.09,63.36,46.23,42.36,44.29,53.74,47.82,55.6,44.31,53.75,60.59,58.38,61.2,58.65,59.9,72.65000000000001,61.33,80.19,69.08,30.71,31.88,29.8,39.27,.2124,4.444,.1254,.8032,24.79,59.31,9.77,12.22,5.96,9.34,86.58,81.37000000000001,85.02,93.86,47.15,49.09,50.98,56.43,51.98,50.45,51.22,50.77,62.22,56.61,48.82,60.04,50.94,62.4,50.89,59.36,42.27,36.5,64.36,52.57
