super_opeid,instnm,count,count_pq1,count_pq2,count_pq3,count_pq4,count_pq5,inventor,inventor_pq1,inventor_pq2,inventor_pq3,inventor_pq4,inventor_pq5,top5cit,total_patents,total_cites
1759,"Southern Illinois University Edwardsville",8044,560,946,1649,2581,2308,.0029836,.0053571,.0052854,.0024257,.0023247,.0025997,0,20,2
1774,"University Of Chicago ",4225,184,306,502,725,2508,.0108876,.0054348,0,.0099602,.0110345,.0127592,5.75e-06,49,64
1780,"Western Illinois University",9029,443,1037,1761,2642,3146,.0016613,.0022573,0,.0005679,.0026495,.0019072,0,15,56
1781,"Wheaton College of Wheaton, IL",2783,151,192,353,526,1561,.0046712,0,.0104167,.0056657,.0038023,.0044843,.0007085,24,18
1786,"Ball State University",16561,770,1633,3096,5120,5942,.0016303,0,.0006124,.001292,.0027344,.0013463,.0000581,38,24
1788,"Butler University",3048,34,168,336,795,1715,.0052493,0,0,.0089286,.0037736,.0058309,.000326,12,7
1792,"DePauw University",2537,64,174,367,585,1347,.0055183,0,0,0,.0051282,.0081663,.0007762,38,47
1795,"University Of Evansville",2368,122,252,450,670,874,.0105574,0,.0039683,.0088889,.0104478,.0148741,.0004314,48,66
1825,"Purdue University",41852,1482,3283,6738,12482,17867,.0139061,.0067476,.009138,.0089047,.010415,.0197011,.0009548,1167,1238
1830,"Rose - Hulman Institute Of Technology",688,16,74,129,230,239,.0843023,0,.0675676,.0775194,.0913043,.0920502,.0076474,64,99
1838,"Taylor University",2702,148,274,489,588,1203,.0040711,0,0,.002045,.005102,.0058188,.0003619,16,0
1840,"University Of Notre Dame",9280,121,371,669,1464,6655,.0115302,.0165289,.0161725,.0104634,.0095628,.0117205,.0005365,234,407
1842,"Valparaiso University",2908,68,223,469,817,1331,.0092847,.0147059,.0044843,0,.0110159,.012021,7.90e-06,41,18
1843,"Vincennes University",8989,1083,1655,2321,2564,1366,.001335,0,.0018127,.0012925,.0019501,.0007321,0,43,150
1868,"Grinnell College",1479,61,100,174,301,843,.0114943,0,.02,.0057471,.0099668,.0130486,8.70e-06,35,146
